Bairro,lat,long
Aldeia das Flores,-22.490997399999998,-44.5716181
Estrada do Jardim Lugano,-22.4873778,-44.5913721
Campo Alegre,-22.4900557,-44.5701991
Centro,-22.4933328,-44.560785700000004
Cidade Jardim Itatiaia,-22.486909,-44.562237
Condominio Aguas Claras,-22.3247704,-44.5973748
Country Club,-22.4913922,-44.584903600000004
Fazenda Penedo,-22.439056,-44.525175
Fazenda da Serra,-22.4703243,-44.529001799999996
Formigueiro,-22.440622,-44.516966
Garcia Ii,-22.4900967,-44.5675517
Hamilton Nogueira Campos,-22.497429,-44.56503370000001
Jambeiro,-22.42287,-44.530141
Jararaca,-22.493685199999998,-44.5378328
Jardim Itatiaia,-22.4878163,-44.5631392
Jardim Martineli,-22.455849,-44.509707
Jardim Paineiras,-22.4941793,-44.556666799999995
Jardim das Rosas,-22.461878,-44.4907148
Marechal Jardim,-22.46783,-44.50061
Maringá,-22.3278002,-44.577064899999996
Maromba,-22.3329581,-44.610184600000004
Nova Conquista,-22.4961712,-44.5796105
Parque Nacional,-22.370521,-44.628441
Penedo,-22.4389766,-44.5252445
Sítio Belos Prados,-22.4973474,-44.554313
Vale das Cruzes,-22.33522,-44.5788086
Vale do Ermitão,-22.427611,-44.538306
Vale do Pavão,-22.343881600000003,-44.5706974
Vale dos Reis,-22.4547756,-44.4942503
Vila Carolina,-22.4940423,-44.557730299999996
Vila Esperança,-22.505610100000002,-44.6013672
Vila Flórida,-22.5046206,-44.61429879999999
Vila Magnólia,-22.5026174,-44.567845899999995
Vila Maia,-22.5034095,-44.5672576
Vila Martins,-22.4968823,-44.5716697
Vila Niterói,-22.490617,-44.551808
Vila Odete,-22.501908,-44.5631392
Vila Paraíso,-22.5004062,-44.5590205
Vila Pinheiro,-22.48219150000001,-44.5725521
Village Itatiaia,-22.4207325,-44.5466622
África 1,-22.435594,-44.535324
África 2,-22.442724,-44.529498
